Image_ID,Count,Area,Avg_size,Area_percent,Mean,Age,Measure,CARS,MBP,Layer
A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 05)-1-1.tif,3306,30.076,0.009,0.93,255,1mo,MBP,0.529,0.93,L2
A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 04)-1-1.tif,3072,27.772,0.009,0.859,255,1mo,MBP,0.649,0.859,L2
1w-183-L2-3Calc-1-1.tif,0,0,,0,,1mo,CARS,,,L2
1w-183-L2-2Calc-1-1.tif,2508,17.104,0.007,0.529,255,1mo,CARS,,,L2
1w-183-L2-1Calc-1-1.tif,2836,20.991,0.007,0.649,255,1mo,CARS,,,L2
A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 03)-1-1.tif,4778,27.954,0.006,0.864,255,1mo,MBP,0.864,0.161,L1
A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 02)-1-1.tif,5785,33.566,0.006,1.038,255,1mo,MBP,1.038,0.612,L1
A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 01)-1-1.tif,5412,31.892,0.006,0.986,255,1mo,MBP,0.986,1.114,L1
1w-183-L1-3Calc-1-1.tif,12,5.204,0.434,0.161,255,1mo,CARS,,,L1
1w-183-L1-2Calc-1-1-1.tif,2742,18.057,0.007,0.612,255,1mo,CARS,,,L1
1w-183-L1-1Calc-1-1.tif,3766,32.851,0.009,1.114,255,1mo,CARS,,,L1
